Average waiting time: 34
ID;Arrival_Time;Burst_time;Completion_time;Waiting_Time;Priority
0;0;4;4;0;4.000000
6;3;7;11;1;1.500000
8;9;3;14;2;0.000000
3;9;6;20;5;0.000000
7;0;7;27;20;0.000000
9;7;5;32;20;0.000000
2;6;6;38;26;0.000000
13;3;6;44;35;0.000000
5;6;9;53;38;0.000000
12;3;4;57;50;0.000000
1;7;5;62;50;0.000000
11;6;6;68;56;0.000000
10;4;7;75;64;0.000000
4;8;7;82;67;0.000000
14;6;8;90;76;0.000000
