Average waiting time: 30.6667
ID;Arrival_Time;Burst_time;Completion_time;Waiting_Time;Priority
0;0;4;4;0;4.000000
12;3;4;8;1;9.000000
1;7;5;13;1;7.000000
8;9;3;16;4;0.000000
9;7;5;21;9;4.000000
13;3;6;27;18;8.000000
2;6;6;33;21;6.000000
11;6;6;39;27;8.000000
3;9;6;45;30;0.000000
7;0;7;52;45;7.000000
6;3;7;59;49;2.000000
10;4;7;66;55;9.000000
4;8;7;73;58;8.000000
14;6;8;81;67;9.000000
5;6;9;90;75;7.000000
