Average waiting time: 61.2667
ID;Arrival_Time;Burst_time;Completion_time;Waiting_Time;Priority
0;0;4;32;28;4.000000
12;3;4;38;31;9.000000
8;9;3;59;47;0.000000
13;3;6;65;56;8.000000
2;6;6;69;57;6.000000
11;6;6;73;61;8.000000
1;7;5;76;64;7.000000
9;7;5;77;65;4.000000
3;9;6;81;66;0.000000
7;0;7;82;75;7.000000
6;3;7;83;73;2.000000
10;4;7;84;73;9.000000
14;6;8;88;74;9.000000
4;8;7;89;74;8.000000
5;6;9;90;75;7.000000
